"apn","pstreet_addr","pcity","pstate","pzip","plon","plat","pminx","pminy","pmaxx","pmaxy","planduse","pfull_address","parcel_dir"
"68512024","4927 RUE BORDEAUX","San Jose","CA",95136,-121.825664108,37.2638046924,-121.82580307,37.2636949207,-121.82552514,37.2639144657,NA,"4927 RUE BORDEAUX,San Jose,CA,95136",6085
"7312001050","3318 Santa Fe Ave",NA,"CA",90810,-118.215127517,33.8175599777,-118.215289994,33.8174562138,-118.214964996,33.8176637526,"0100","3318 Santa Fe Ave,NA,CA,90810",6037
"5676025026","551 E Cypress St","Glendale","CA",91205,-118.248011658,34.1294044733,-118.248187671,34.1292020707,-118.247835814,34.1296064352,"0100","551 E Cypress St,Glendale,CA,91205",6037
"150120037","6074 CREST AVE","Riverside","CA",92503,-117.473103886,33.9436756464,-117.473426076,33.9435435459,-117.472786787,33.9438039881,NA,"6074 CREST AVE,Riverside,CA,92503",6065
"23602450090000","4857 CRESTVIEW DR","Carmichael","CA",95608,-121.3200305,38.6536658961,-121.320268045,38.6535534909,-121.319771888,38.6537848684,NA,"4857 CRESTVIEW DR,Carmichael,CA,95608",6067
"387462003","15167 IRONWOOD ST","Lake Elsinore","CA",92530,-117.386568518,33.6823897625,-117.386720797,33.6822298437,-117.386403551,33.6825492951,NA,"15167 IRONWOOD ST,Lake Elsinore,CA,92530",6065
"5373030028","705 S Gladys Ave",NA,"CA",91776,-118.089995797,34.0940166717,-118.090246629,34.0938779123,-118.089745318,34.0941552933,"2900","705 S Gladys Ave,NA,CA,91776",6037
"1853683741","8858 LAWRENCE WELK DR","Escondido","CA",92026,-117.144665273,33.2373481161,-117.145164205,33.2364388294,-117.143997784,33.2381526139,NA,"8858 LAWRENCE WELK DR,Escondido,CA,92026",6073
"513 047705400","41993 VIA SAN LUIS REY","Fremont","CA",94539,-121.930168707,37.5412360836,-121.930388323,37.5410484544,-121.929948653,37.5414236776,"1100","41993 VIA SAN LUIS REY,Fremont,CA,94539",6001
"11513300410000","8739 MESA BROOK WAY","Elk Grove","CA",95624,-121.384578255,38.4399434765,-121.384801728,38.439880644,-121.384355284,38.4400062244,NA,"8739 MESA BROOK WAY,Elk Grove,CA,95624",6067
"6145016025","1309 W 136th St",NA,"CA",90222,-118.248457497,33.9082393981,-118.248542057,33.9080997663,-118.248372932,33.9083790027,"0100","1309 W 136th St,NA,CA,90222",6037
"2354012075","11531 Riverside Dr","North Hollywood","CA",91602,-118.383020497,34.1579637203,-118.383269675,34.157770409,-118.382773249,34.1581556484,"010C","11531 Riverside Dr,North Hollywood,CA,91602",6037
"1030402100","655 DE LUZ RD","Fallbrook","CA",92028,-117.252030875,33.3875011759,-117.252295958,33.38741523,-117.251765133,33.3875869811,NA,"655 DE LUZ RD,Fallbrook,CA,92028",6073
"032020455","1150 4TH ST","Taft","CA",93268,-119.452468119,35.1501702867,-119.452863196,35.149864024,-119.452071429,35.1505122449,"1708","1150 4TH ST,Taft,CA,93268",6029
"4420027000","13741 SKI VIEW LOOP","Truckee","CA",96161,-120.238242171,39.3538929097,-120.238630381,39.3536850572,-120.237869533,39.3541106713,NA,"13741 SKI VIEW LOOP,Truckee,CA,96161",6057
"6411323300","705 COOPER RD","Chula Vista","CA",91911,-117.022826532,32.6134451078,-117.022916432,32.6133238048,-117.02272252,32.6135707007,NA,"705 COOPER RD,Chula Vista,CA,91911",6073
"031-073-028-000","6620 CHILI HILL RD","Newcastle","CA",95658,-121.180605673,38.9029720954,-121.181359128,38.9026216121,-121.180015853,38.9034601234,"01","6620 CHILI HILL RD,Newcastle,CA,95658",6061
"058082004000","3159 SACRAMENTO DR","Merced","CA",95348,-120.499156176,37.3202144262,-120.499331708,37.3201216424,-120.498974503,37.3203166053,"101","3159 SACRAMENTO DR,Merced,CA,95348",6047
"360500011","30848 MIRAGE CIR","Menifee","CA",92584,-117.19222719,33.6723337631,-117.192427264,33.6722512243,-117.192026852,33.6724166371,NA,"30848 MIRAGE CIR,Menifee,CA,92584",6065
"368170002","20759 COMO ST","Wildomar","CA",92595,-117.285069117,33.6151645834,-117.285614871,33.6146172681,-117.284523176,33.6157113014,NA,"20759 COMO ST,Wildomar,CA,92595",6065
"048215321","17844 CANYON MEADOW RD",NA,NA,92395,-117.274127496,34.4808497308,-117.27427704,34.4806748386,-117.27393874,34.4810416078,"510","17844 CANYON MEADOW RD,NA,NA,92395",6071
"030482012","9650 Las Lomas Ave","Atascadero","CA",93422,-120.647180296,35.4660580602,-120.647517407,35.4659451672,-120.646843185,35.4664580009,NA,"9650 Las Lomas Ave,Atascadero,CA,93422",6079
"5074030012","2039 S La Salle Ave","Los Angeles","CA",90018,-118.304246206,34.0379072733,-118.304503303,34.0376938393,-118.303989107,34.0381207048,"0200","2039 S La Salle Ave,Los Angeles,CA,90018",6037
"125-342-014","1053 ODELL LN","Santa Rosa","CA",95407,-122.729742123,38.4220800223,-122.729893812,38.4219234994,-122.729587478,38.4222368745,NA,"1053 ODELL LN,Santa Rosa,CA,95407",6097
"2353004023","5107 Lankershim Blvd","North Hollywood","CA",91601,-118.374213328,34.1631740494,-118.3746513,34.1630463686,-118.373697952,34.163310024,"2600","5107 Lankershim Blvd,North Hollywood,CA,91601",6037
"424112068","326 MADISON ST","Delano","CA",93215,-119.239567358,35.7605275544,-119.239744891,35.7604558137,-119.239389822,35.7605992945,"0101","326 MADISON ST,Delano,CA,93215",6029
"7467012022","3622 S Gaffey St","San Pedro","CA",90731,-118.292647137,33.7108444819,-118.292729503,33.7106684793,-118.292564771,33.7110204843,"0200","3622 S Gaffey St,San Pedro,CA,90731",6037
"083-020-066","7561 TRENTON RD","Forestville","CA",95436,-122.877003562,38.4891231295,-122.877625269,38.4878416433,-122.876207818,38.4905665719,NA,"7561 TRENTON RD,Forestville,CA,95436",6097
"004480046","5711 BEAVER LN","Discovery Bay","CA",94505,-121.588435466,37.9143765008,-121.588616537,37.914150567,-121.588293803,37.9145399833,NA,"5711 BEAVER LN,Discovery Bay,CA,94505",6013
"2844008010","17939 Wellhaven St","Canyon Country","CA",91387,-118.446811038,34.4178951731,-118.446921956,34.4177350791,-118.446700247,34.4180549254,"0100","17939 Wellhaven St,Canyon Country,CA,91387",6037
"147480024","1079 MOHR LN","Concord","CA",94518,-122.047337537,37.9449364294,-122.047396344,37.944853561,-122.04728413,37.9450039673,NA,"1079 MOHR LN,Concord,CA,94518",6013
