"apn","pstreet_addr","pcity","pstate","pzip","plon","plat","pminx","pminy","pmaxx","pmaxy","planduse","pfull_address","parcel_dir"
"3885722900","8308 OCONNELL RD","El Cajon","CA",92021,-116.948353741,32.8271593737,-116.948529305,32.8269844594,-116.948137361,32.8273466778,NA,"8308 OCONNELL RD,El Cajon,CA,92021",6073
"041-131-080","5405 AGER BESWICK RD",NA,NA,96044,-122.464937789,41.867207619,-122.465583113,41.8664347882,-122.46440089,41.8679158506,"002","5405 AGER BESWICK RD,NA,NA,96044",6093
"1702010F","4716 IRVING ST","San Francisco","CA",94122,-122.508664972,37.7624172209,-122.508717803,37.7622782067,-122.508612141,37.7625562354,NA,"4716 IRVING ST,San Francisco,CA,94122",6075
"20035326","164 DINSMORE DR","Fortuna","CA",95540,-124.156097889,40.5894653116,-124.156568619,40.5889203249,-124.155637603,40.5900878638,"CITY OF FO","164 DINSMORE DR,Fortuna,CA,95540",6023
"06702300250000","4327 MONHEGAN WAY","Mather","CA",95655,-121.285228333,38.5469991144,-121.285451065,38.5468368874,-121.285005621,38.5471613337,NA,"4327 MONHEGAN WAY,Mather,CA,95655",6067
"2982116714","675 S SIERRA AVE","Solana Beach","CA",92075,-117.272229747,32.9831374631,-117.273297803,32.9828512909,-117.271139046,32.9834254248,NA,"675 S SIERRA AVE,Solana Beach,CA,92075",6073
"20905420080000","7555 STONERIDGE WAY","Citrus Heights","CA",95621,-121.317198899,38.7038504333,-121.317376083,38.7036873378,-121.317023907,38.7040131635,NA,"7555 STONERIDGE WAY,Citrus Heights,CA,95621",6067
"16124013","2710 ROAD E","Redwood Valley","CA",95470,-123.193103791,39.2787386789,-123.195128977,39.2783259059,-123.191150665,39.2794369982,NA,"2710 ROAD E,Redwood Valley,CA,95470",6045
"3003054002","39329 Chalfont Ln","City Ranch","CA",93551,-118.187849393,34.5970410767,-118.188059829,34.5969437825,-118.187639232,34.5971383461,"0100","39329 Chalfont Ln,City Ranch,CA,93551",6037
"543 044913000","3303 BEARD RD","Fremont","CA",94555,-122.041771208,37.5834953007,-122.041974975,37.5833517014,-122.041564629,37.5836394388,"1100","3303 BEARD RD,Fremont,CA,94555",6001
"7328003020","21922 Acarus Ave","Carson","CA",90745,-118.250526895,33.8293610522,-118.250723014,33.8292104325,-118.250330748,33.8295114864,"0100","21922 Acarus Ave,Carson,CA,90745",6037
